SaleID,Date,ProductID,CustomerID,Quantity,UnitPrice
239,2024-04-29,2,1,2,750
240,2024-04-29,3,2,3,950
241,2024-04-30,1,1,1,500
242,2024-05-01,1,2,1,500
243,2024-05-01,2,3,2,750
244,2024-05-02,1,3,1,500
245,2024-05-02,2,4,2,750
246,2024-05-02,3,5,3,950
247,2024-05-03,1,4,1,500
248,2024-05-04,1,5,1,500
249,2024-05-04,2,1,2,750
250,2024-05-05,1,1,1,500
251,2024-05-05,2,2,2,750
252,2024-05-05,3,3,3,950
253,2024-05-06,1,2,1,500
254,2024-05-07,1,3,1,500
255,2024-05-07,2,4,2,750
256,2024-05-08,1,4,1,500
257,2024-05-08,2,5,2,750
258,2024-05-08,3,1,3,950
259,2024-05-09,1,5,1,500
260,2024-05-10,1,1,1,500
261,2024-05-10,2,2,2,750
262,2024-05-11,1,2,1,500
263,2024-05-11,2,3,2,750
264,2024-05-11,3,4,3,950
265,2024-05-12,1,3,1,500
266,2024-05-13,1,4,1,500
267,2024-05-13,2,5,2,750
268,2024-05-14,1,5,1,500
269,2024-05-14,2,1,2,750
270,2024-05-14,3,2,3,950
271,2024-05-15,1,1,1,500
272,2024-05-16,1,2,1,500
273,2024-05-16,2,3,2,750
274,2024-05-17,1,3,1,500
275,2024-05-17,2,4,2,750
276,2024-05-17,3,5,3,950
277,2024-05-18,1,4,1,500
278,2024-05-19,1,5,1,500
279,2024-05-19,2,1,2,750
280,2024-05-20,1,1,1,500
281,2024-05-20,2,2,2,750
282,2024-05-20,3,3,3,950
283,2024-05-21,1,2,1,500
284,2024-05-22,1,3,1,500
285,2024-05-22,2,4,2,750
286,2024-05-23,1,4,1,500
287,2024-05-23,2,5,2,750
288,2024-05-23,3,1,3,950
289,2024-05-24,1,5,1,500
290,2024-05-25,1,1,1,500
291,2024-05-25,2,2,2,750
292,2024-05-26,1,2,1,500
293,2024-05-26,2,3,2,750
294,2024-05-26,3,4,3,950
295,2024-05-27,1,3,1,500
296,2024-05-28,1,4,1,500
297,2024-05-28,2,5,2,750
298,2024-05-29,1,5,1,500
299,2024-05-29,2,1,2,750
300,2024-05-29,3,2,3,950
